selleck_plate,well,Library,Library Well Type,Reagent Vendor,Vendor Reagent ID,Compound SMILES,Molecular Weight,Compound Names,PubChem CIDs,Clinical Phase [100012],Mechanism of Action [100012],Protein Target [100012],Match Type [100012],Screen Positives Count [200001],Screened Count [200001]
3651,A01,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,A02,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,A03,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1011,c1(F)ccc(Nc2c3c(cc(O[C@@H]4COCC4)c(NC(=O)C=CCN(C)C)c3)ncn2)cc1Cl,485.9384,Afatinib (BIBW2992),53445376,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,canonical SMILES,,35
3651,A04,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1888,C1=C[C@@]2(C)C(CC[C@]3([H])[C@@]2([H])[C@H](O)C[C@@]4(C)[C@@]3([H])C[C@]5([H])[C@]4(C(=O)COC(=O)C)N=C(C)O5)=CC1=O,441.51673,Deflazacort,129010212,Launched,glucocorticoid receptor agonist,NR3C1,InChI key,,35
3651,A05,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1198,N1(C2CCN(C(Oc3ccc(c4c3)nc5c(CN(C5=C6)C(=O)C7=C6[C@@](CC)(O)C(=O)OC7)c4CC)=O)CC2)CCCCC1,586.67802,Irinotecan,6093360,Launched,topoisomerase inhibitor,TOP1|TOP1MT,InChI key,1,35
3651,A06,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1941,c1cc(CC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O)ccc1.C(=O)(C=CC(O)=O)O,492.51887,Enalapril Maleate,53395224,,,,,,35
3651,A07,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1274,N1(C(Nc2cccc(Nc3ncc(I)c(NCCCNC(=O)c4sccc4)n3)c2)=O)CCCC1,591.46771,BX-795,10077147,Preclinical,IKK inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,InChI key,2,35
3651,A08,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2013,N1c(c2CCC1=O)ccc(Nc3ncc(C(F)(F)F)c(NCc4cccc(S(C)(=O)=O)c4)n3)c2,491.4861,PF-573228,11612883,Preclinical,focal adhesion kinase inhibitor,CDK1|CDK2|CDK7|GSK3B|IKBKB,InChI key,,35
3651,A09,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1343,C1([C@@H]2C[C@H]3C(C)(C)C)(C34[C@@]([H])(OC(=O)[C@H]4O)O5)[C@@]5(C(=O)O2)[C@]6(O)[C@@]([H])(OC(=O)[C@@H]6C)[C@H]1O,424.39855,Ginkgolide B,129010213,Phase 3,platelet activating factor receptor antagonist,GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B,InChI key,,35
3651,A10,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2054,c1(ccccc1)C(c2c(C)cccc2)OCCN(C)C.OC(=O)CC(O)(C(O)=O)CC(=O)O,461.50483,Orphenadrine Citrate,83823,,,,,,35
3651,A11,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1389,c1cc2c(nc(S(Cc3ncc(C)c(OC)c3C)=O)[nH]2)cc1OC,345.41605,Omeprazole,4594,Launched,ATPase inhibitor,ATP4A|CLCN2,InChI key,,35
3651,A12,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2096,c1(CS(=O)(=O)N2CCCC2)cc3c([nH]cc3CCN(C)C)cc1.C(O)(=O)C(O)CC(=O)O,469.55173,Almotriptan Malate,123607,,,,,1,35
3651,A13,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1544,c1ccc2c(c(C(=O)c3c(I)ccc([N+]([O-])=O)c3)cn2CC4CCCCN4C)c1,503.33284,AM1241,10141893,Preclinical,cannabinoid receptor agonist,CNR1|CNR2,InChI key,,35
3651,A14,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2153,c(ncn1[C@H]2[C@@H](O)[C@H](O)[C@@H](C(=O)NCC)O2)(c(N)nc(NCCc3ccc(CCC(=O)O)cc3)n4)c14.Cl,535.9806,CGS 21680 HCl,71297010,Preclinical,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3,InChI key,2,35
3651,A15,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1638,c1cc(C(C)C(=O)O)ccc1CC(C)C,206.28082,Ibuprofen,3672,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,InChI key,,35
3651,A16,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2217,C1CCN(C2CCN(C(=O)Oc3cc4c(nc5c(CN6C5=CC7=C(COC(=O)[C@]7(O)CC)C6=O)c4CC)cc3)CC2)CC1.Cl.O.O.O,677.1848,Irinotecan HCl Trihydrate,129010214,Launched,topoisomerase inhibitor,TOP1|TOP1MT,InChI key,,35
3651,A17,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1696,C1C[C@@]2(C)C(CC[C@]3([H])[C@@]2([H])[C@H](O)C[C@@]4(C)[C@@]3([H])CC[C@@]4(O)C(CO)=O)=CC1=O,362.4599,Hydrocortisone,129010215,Launched,glucocorticoid receptor agonist,,InChI key,,35
3651,A18,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2293,OC(=O)CC(C[N+](C)(C)C)O.[Cl-],197.65983,DL-Carnitine HCl,5970,Phase 3,,,InChI key,,35
3651,A19,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1763,OC(=O)C=CC(=O)O.c1cc2c(Sc3c(cccc3)C(N4CCN(CCOCCO)CC4)=N2)cc1.c5cc6c(Sc7c(cccc7)C(N8CCN(CCOCCO)CC8)=N6)cc5,883.08636,Quetiapine Fumarate,441261,,,,,2,35
